customer_id,name,email,city,customer_type,join_date,total_orders,completed_orders,total_spent
10,Customer_10,customer10@email.com,Hyderabad,Regular,2025-05-05,2,2,4885.63
11,Customer_11,customer11@email.com,Delhi,VIP,2025-07-16,0,0,0.0
12,Customer_12,customer12@email.com,Delhi,Regular,2025-12-29,1,0,0.0
13,Customer_13,customer13@email.com,Hyderabad,Regular,2025-11-24,3,3,28890.09
14,Customer_14,customer14@email.com,Mumbai,Premium,2025-10-13,2,0,0.0
15,Customer_15,customer15@email.com,Pune,Regular,2025-05-28,3,1,582.07
16,Customer_16,customer16@email.com,Delhi,Premium,2025-07-23,7,5,27345.9
17,Customer_17,customer17@email.com,Pune,VIP,2025-05-12,2,1,3876.98
18,Customer_18,customer18@email.com,Mumbai,Premium,2025-12-03,1,0,0.0
19,Customer_19,customer19@email.com,Hyderabad,Regular,2025-03-06,1,0,0.0
1,Customer_1,customer1@email.com,Bangalore,Regular,2025-10-07,3,1,5343.54
20,Customer_20,customer20@email.com,Bangalore,Premium,2025-06-11,4,1,3289.99
21,Customer_21,customer21@email.com,Bangalore,VIP,2025-02-17,0,0,0.0
22,Customer_22,customer22@email.com,Chennai,Premium,2025-02-22,0,0,0.0
23,Customer_23,customer23@email.com,Hyderabad,Premium,2025-06-22,4,1,3995.88
24,Customer_24,customer24@email.com,Mumbai,Regular,2025-02-24,2,0,0.0
25,Customer_25,customer25@email.com,Pune,Regular,2025-03-15,3,2,28824.71
26,Customer_26,customer26@email.com,Chennai,VIP,2025-06-11,5,3,3492.42
27,Customer_27,customer27@email.com,Delhi,Premium,2025-12-24,1,0,0.0
28,Customer_28,customer28@email.com,Chennai,Premium,2025-04-04,2,0,0.0
29,Customer_29,customer29@email.com,Delhi,Regular,2025-11-10,1,0,0.0
2,Customer_2,customer2@email.com,Hyderabad,VIP,2025-04-23,1,0,0.0
30,Customer_30,customer30@email.com,Pune,Premium,2025-12-03,2,0,0.0
31,Customer_31,customer31@email.com,Chennai,Regular,2025-07-19,4,1,2910.35
32,Customer_32,customer32@email.com,Chennai,Premium,2025-07-30,2,0,0.0
33,Customer_33,customer33@email.com,Bangalore,Regular,2025-08-01,1,0,0.0
34,Customer_34,customer34@email.com,Mumbai,Premium,2025-08-09,0,0,0.0
35,Customer_35,customer35@email.com,Chennai,Premium,2025-12-06,2,0,0.0
36,Customer_36,customer36@email.com,Hyderabad,VIP,2025-02-27,2,2,11923.52
37,Customer_37,customer37@email.com,Mumbai,VIP,2025-10-21,1,0,0.0
38,Customer_38,customer38@email.com,Pune,VIP,2025-04-03,3,1,10687.08
39,Customer_39,customer39@email.com,Hyderabad,Regular,2025-05-17,1,1,20809.4
3,Customer_3,customer3@email.com,Hyderabad,Premium,2025-10-14,1,0,0.0
40,Customer_40,customer40@email.com,Pune,Regular,2025-04-27,2,1,3289.99
41,Customer_41,customer41@email.com,Chennai,Premium,2025-12-30,2,0,0.0
42,Customer_42,customer42@email.com,Hyderabad,VIP,2025-11-17,2,1,13077.78
43,Customer_43,customer43@email.com,Delhi,Premium,2025-05-10,1,0,0.0
44,Customer_44,customer44@email.com,Chennai,Premium,2025-11-26,1,1,8015.31
45,Customer_45,customer45@email.com,Pune,Premium,2025-03-19,4,3,3522.6
46,Customer_46,customer46@email.com,Mumbai,Regular,2025-08-16,4,2,25827.12
47,Customer_47,customer47@email.com,Pune,Premium,2025-07-16,3,1,7112.01
48,Customer_48,customer48@email.com,Mumbai,Premium,2025-05-07,2,0,0.0
49,Customer_49,customer49@email.com,Delhi,VIP,2025-07-13,1,0,0.0
4,Customer_4,customer4@email.com,Pune,Regular,2025-05-04,0,0,0.0
50,Customer_50,customer50@email.com,Mumbai,Regular,2025-09-17,2,0,0.0
5,Customer_5,customer5@email.com,Chennai,Premium,2025-04-06,0,0,0.0
6,Customer_6,customer6@email.com,Pune,Regular,2025-08-31,1,1,2910.35
7,Customer_7,customer7@email.com,Mumbai,Regular,2025-11-05,2,0,0.0
8,Customer_8,customer8@email.com,Delhi,Regular,2025-06-03,3,1,13358.85
9,Customer_9,customer9@email.com,Delhi,VIP,2025-10-15,3,1,15507.92
