Order_Item_ID,Order_ID,Product_ID,Quantity,Product_Name,Category,Unit_Price,Stock,Line_Total,Customer_ID,Order_Date,Status,Name,Email,City,Join_Date,Month,Week,Weekday
1,1,2,2,Mouse,Accessories,500,16,1000,60,2024-01-24,Cancelled,Customer_60,customer60@email.com,Delhi,2023-06-27,January,4,Wednesday
2,1,5,4,Headphones,Accessories,2000,21,8000,60,2024-01-24,Cancelled,Customer_60,customer60@email.com,Delhi,2023-06-27,January,4,Wednesday
3,1,8,3,Router,Networking,3500,57,10500,60,2024-01-24,Cancelled,Customer_60,customer60@email.com,Delhi,2023-06-27,January,4,Wednesday
4,2,3,2,Keyboard,Accessories,1500,82,3000,97,2024-02-06,Shipped,Customer_97,customer97@email.com,Pune,2023-10-16,February,6,Tuesday
5,2,6,3,Webcam,Accessories,3000,43,9000,97,2024-02-06,Shipped,Customer_97,customer97@email.com,Pune,2023-10-16,February,6,Tuesday
6,2,7,3,USB Cable,Accessories,200,42,600,97,2024-02-06,Shipped,Customer_97,customer97@email.com,Pune,2023-10-16,February,6,Tuesday
7,3,4,3,Monitor,Electronics,15000,81,45000,63,2024-02-04,Delivered,Customer_63,customer63@email.com,Pune,2023-07-06,February,5,Sunday
8,3,1,4,Laptop,Electronics,50000,37,200000,63,2024-02-04,Delivered,Customer_63,customer63@email.com,Pune,2023-07-06,February,5,Sunday
9,4,7,3,USB Cable,Accessories,200,42,600,85,2024-02-13,Delivered,Customer_85,customer85@email.com,Mumbai,2023-09-10,February,7,Tuesday
10,4,4,1,Monitor,Electronics,15000,81,15000,85,2024-02-13,Delivered,Customer_85,customer85@email.com,Mumbai,2023-09-10,February,7,Tuesday
11,5,9,1,External Drive,Storage,4000,32,4000,32,2024-02-09,Shipped,Customer_32,customer32@email.com,Chennai,2023-04-04,February,6,Friday
12,5,5,3,Headphones,Accessories,2000,21,6000,32,2024-02-09,Shipped,Customer_32,customer32@email.com,Chennai,2023-04-04,February,6,Friday
13,6,1,2,Laptop,Electronics,50000,37,100000,87,2024-01-22,Delivered,Customer_87,customer87@email.com,Mumbai,2023-09-16,January,4,Monday
14,6,4,2,Monitor,Electronics,15000,81,30000,87,2024-01-22,Delivered,Customer_87,customer87@email.com,Mumbai,2023-09-16,January,4,Monday
15,6,2,2,Mouse,Accessories,500,16,1000,87,2024-01-22,Delivered,Customer_87,customer87@email.com,Mumbai,2023-09-16,January,4,Monday
16,7,10,1,Printer,Office,8000,71,8000,33,2024-01-27,Delivered,Customer_33,customer33@email.com,Chennai,2023-04-07,January,4,Saturday
17,8,6,1,Webcam,Accessories,3000,43,3000,67,2024-02-04,Processing,Customer_67,customer67@email.com,Delhi,2023-07-18,February,5,Sunday
18,8,4,1,Monitor,Electronics,15000,81,15000,67,2024-02-04,Processing,Customer_67,customer67@email.com,Delhi,2023-07-18,February,5,Sunday
19,9,8,1,Router,Networking,3500,57,3500,18,2024-01-01,Delivered,Customer_18,customer18@email.com,Pune,2023-02-21,January,1,Monday
20,9,4,4,Monitor,Electronics,15000,81,60000,18,2024-01-01,Delivered,Customer_18,customer18@email.com,Pune,2023-02-21,January,1,Monday
21,9,2,3,Mouse,Accessories,500,16,1500,18,2024-01-01,Delivered,Customer_18,customer18@email.com,Pune,2023-02-21,January,1,Monday
22,10,3,3,Keyboard,Accessories,1500,82,4500,25,2024-02-04,Delivered,Customer_25,customer25@email.com,Mumbai,2023-03-14,February,5,Sunday
23,10,4,4,Monitor,Electronics,15000,81,60000,25,2024-02-04,Delivered,Customer_25,customer25@email.com,Mumbai,2023-03-14,February,5,Sunday
24,10,10,3,Printer,Office,8000,71,24000,25,2024-02-04,Delivered,Customer_25,customer25@email.com,Mumbai,2023-03-14,February,5,Sunday
25,11,5,4,Headphones,Accessories,2000,21,8000,95,2024-02-06,Delivered,Customer_95,customer95@email.com,Mumbai,2023-10-10,February,6,Tuesday
26,11,10,4,Printer,Office,8000,71,32000,95,2024-02-06,Delivered,Customer_95,customer95@email.com,Mumbai,2023-10-10,February,6,Tuesday
27,11,6,2,Webcam,Accessories,3000,43,6000,95,2024-02-06,Delivered,Customer_95,customer95@email.com,Mumbai,2023-10-10,February,6,Tuesday
28,12,10,2,Printer,Office,8000,71,16000,54,2024-02-16,Delivered,Customer_54,customer54@email.com,Pune,2023-06-09,February,7,Friday
29,12,10,1,Printer,Office,8000,71,8000,54,2024-02-16,Delivered,Customer_54,customer54@email.com,Pune,2023-06-09,February,7,Friday
30,12,8,2,Router,Networking,3500,57,7000,54,2024-02-16,Delivered,Customer_54,customer54@email.com,Pune,2023-06-09,February,7,Friday
31,13,9,1,External Drive,Storage,4000,32,4000,58,2024-01-14,Delivered,Customer_58,customer58@email.com,Delhi,2023-06-21,January,2,Sunday
32,13,8,4,Router,Networking,3500,57,14000,58,2024-01-14,Delivered,Customer_58,customer58@email.com,Delhi,2023-06-21,January,2,Sunday
33,14,4,4,Monitor,Electronics,15000,81,60000,67,2024-01-03,Delivered,Customer_67,customer67@email.com,Delhi,2023-07-18,January,1,Wednesday
34,14,4,1,Monitor,Electronics,15000,81,15000,67,2024-01-03,Delivered,Customer_67,customer67@email.com,Delhi,2023-07-18,January,1,Wednesday
35,14,8,1,Router,Networking,3500,57,3500,67,2024-01-03,Delivered,Customer_67,customer67@email.com,Delhi,2023-07-18,January,1,Wednesday
36,15,10,1,Printer,Office,8000,71,8000,46,2024-01-01,Delivered,Customer_46,customer46@email.com,Mumbai,2023-05-16,January,1,Monday
37,15,10,1,Printer,Office,8000,71,8000,46,2024-01-01,Delivered,Customer_46,customer46@email.com,Mumbai,2023-05-16,January,1,Monday
38,15,6,3,Webcam,Accessories,3000,43,9000,46,2024-01-01,Delivered,Customer_46,customer46@email.com,Mumbai,2023-05-16,January,1,Monday
39,16,8,1,Router,Networking,3500,57,3500,24,2024-01-05,Delivered,Customer_24,customer24@email.com,Mumbai,2023-03-11,January,1,Friday
40,17,7,1,USB Cable,Accessories,200,42,200,32,2024-01-26,Shipped,Customer_32,customer32@email.com,Chennai,2023-04-04,January,4,Friday
41,17,5,1,Headphones,Accessories,2000,21,2000,32,2024-01-26,Shipped,Customer_32,customer32@email.com,Chennai,2023-04-04,January,4,Friday
42,18,4,2,Monitor,Electronics,15000,81,30000,47,2024-02-24,Delivered,Customer_47,customer47@email.com,Delhi,2023-05-19,February,8,Saturday
43,18,7,1,USB Cable,Accessories,200,42,200,47,2024-02-24,Delivered,Customer_47,customer47@email.com,Delhi,2023-05-19,February,8,Saturday
44,19,6,3,Webcam,Accessories,3000,43,9000,86,2024-01-14,Cancelled,Customer_86,customer86@email.com,Mumbai,2023-09-13,January,2,Sunday
45,20,8,3,Router,Networking,3500,57,10500,23,2024-02-08,Delivered,Customer_23,customer23@email.com,Chennai,2023-03-08,February,6,Thursday
46,20,5,3,Headphones,Accessories,2000,21,6000,23,2024-02-08,Delivered,Customer_23,customer23@email.com,Chennai,2023-03-08,February,6,Thursday
47,20,9,1,External Drive,Storage,4000,32,4000,23,2024-02-08,Delivered,Customer_23,customer23@email.com,Chennai,2023-03-08,February,6,Thursday
48,21,10,4,Printer,Office,8000,71,32000,66,2024-01-27,Delivered,Customer_66,customer66@email.com,Chennai,2023-07-15,January,4,Saturday
49,22,5,2,Headphones,Accessories,2000,21,4000,27,2024-01-09,Processing,Customer_27,customer27@email.com,Bangalore,2023-03-20,January,2,Tuesday
50,23,3,3,Keyboard,Accessories,1500,82,4500,2,2024-01-15,Delivered,Customer_2,customer2@email.com,Pune,2023-01-04,January,3,Monday
51,24,10,3,Printer,Office,8000,71,24000,90,2024-01-15,Cancelled,Customer_90,customer90@email.com,Bangalore,2023-09-25,January,3,Monday
52,25,2,3,Mouse,Accessories,500,16,1500,17,2024-01-26,Delivered,Customer_17,customer17@email.com,Chennai,2023-02-18,January,4,Friday
53,25,2,3,Mouse,Accessories,500,16,1500,17,2024-01-26,Delivered,Customer_17,customer17@email.com,Chennai,2023-02-18,January,4,Friday
54,26,1,4,Laptop,Electronics,50000,37,200000,33,2024-02-11,Cancelled,Customer_33,customer33@email.com,Chennai,2023-04-07,February,6,Sunday
55,26,3,2,Keyboard,Accessories,1500,82,3000,33,2024-02-11,Cancelled,Customer_33,customer33@email.com,Chennai,2023-04-07,February,6,Sunday
56,27,7,4,USB Cable,Accessories,200,42,800,9,2024-02-29,Delivered,Customer_9,customer9@email.com,Bangalore,2023-01-25,February,9,Thursday
57,28,5,4,Headphones,Accessories,2000,21,8000,43,2024-01-13,Processing,Customer_43,customer43@email.com,Chennai,2023-05-07,January,2,Saturday
58,28,1,1,Laptop,Electronics,50000,37,50000,43,2024-01-13,Processing,Customer_43,customer43@email.com,Chennai,2023-05-07,January,2,Saturday
59,29,6,2,Webcam,Accessories,3000,43,6000,48,2024-02-20,Delivered,Customer_48,customer48@email.com,Pune,2023-05-22,February,8,Tuesday
60,30,5,1,Headphones,Accessories,2000,21,2000,39,2024-02-01,Cancelled,Customer_39,customer39@email.com,Mumbai,2023-04-25,February,5,Thursday
61,30,7,1,USB Cable,Accessories,200,42,200,39,2024-02-01,Cancelled,Customer_39,customer39@email.com,Mumbai,2023-04-25,February,5,Thursday
62,31,1,4,Laptop,Electronics,50000,37,200000,93,2024-02-08,Delivered,Customer_93,customer93@email.com,Bangalore,2023-10-04,February,6,Thursday
63,32,6,4,Webcam,Accessories,3000,43,12000,42,2024-02-18,Delivered,Customer_42,customer42@email.com,Mumbai,2023-05-04,February,7,Sunday
64,32,8,1,Router,Networking,3500,57,3500,42,2024-02-18,Delivered,Customer_42,customer42@email.com,Mumbai,2023-05-04,February,7,Sunday
65,33,1,4,Laptop,Electronics,50000,37,200000,26,2024-02-21,Cancelled,Customer_26,customer26@email.com,Bangalore,2023-03-17,February,8,Wednesday
